171,"２Ｋ×３Ｋ（幅３ｍ６０ｃｍ×奥行５ｍ４０ｃｍ）"
172,"３Ｋ×３Ｋ（幅５ｍ４０ｃｍ×奥行５ｍ４０ｃｍ）"
173,"４Ｋ×３Ｋ（幅７ｍ２０ｃｍ×奥行５ｍ４０ｃｍ）"
174,"５Ｋ×３Ｋ（幅９ｍ×奥行５ｍ４０ｃｍ）"
175,"６Ｋ×３Ｋ（幅１０ｍ８０ｃｍ×奥行５ｍ４０ｃｍ）"
176,"７Ｋ×３Ｋ（幅１２ｍ６０ｃｍ×奥行５ｍ４０ｃｍ）"
177,"８Ｋ×３Ｋ（幅１４ｍ４０ｃｍ×奥行５ｍ４０ｃｍ）"
178,"９Ｋ×３Ｋ（幅１６ｍ２０ｃｍ×奥行５ｍ４０ｃｍ）"
179,"１０Ｋ×３Ｋ（幅１８ｍ×奥行５ｍ４０ｃｍ）"
180,"１Ｋ×４Ｋ（幅１ｍ８０ｃｍ×奥行７ｍ２０ｃｍ）"
181,"２Ｋ×４Ｋ（幅３ｍ６０ｃｍ×奥行７ｍ２０ｃｍ）"
182,"３Ｋ×４Ｋ（幅５ｍ４０ｃｍ×奥行１ｍ８０ｃｍ）"
183,"４Ｋ×４Ｋ（幅７ｍ２０ｃｍ×奥行１ｍ８０ｃｍ）"
184,"５Ｋ×４Ｋ（幅９ｍ×奥行１ｍ８０ｃｍ）"
185,"６Ｋ×４Ｋ（幅１０ｍ８０ｃｍ×奥行１ｍ８０ｃｍ）"
186,"７Ｋ×４Ｋ（幅１２ｍ６０ｃｍ×奥行１ｍ８０ｃｍ）"
187,"８Ｋ×４Ｋ（幅１４ｍ４０ｃｍ×奥行１ｍ８０ｃｍ）"
188,"９Ｋ×４Ｋ（幅１６ｍ２０ｃｍ×奥行１ｍ８０ｃｍ）"
189,"１０Ｋ×４Ｋ（幅１８ｍ×奥行１ｍ８０ｃｍ）"
190,"１Ｋ×５Ｋ（幅１ｍ８０ｃｍ×奥行１ｍ８０ｃｍ）"
191,"２Ｋ×５Ｋ（幅３ｍ６０ｃｍ×奥行１ｍ８０ｃｍ）"
192,"３Ｋ×５Ｋ（幅５ｍ４０ｃｍ×奥行１ｍ８０ｃｍ）"
193,"４Ｋ×５Ｋ（幅７ｍ２０ｃｍ×奥行１ｍ８０ｃｍ）"
194,"５Ｋ×５Ｋ（幅９ｍ×奥行１ｍ８０ｃｍ）"
195,"６Ｋ×５Ｋ（幅１０ｍ８０ｃｍ×奥行１ｍ８０ｃｍ）"
196,"７Ｋ×５Ｋ（幅１２ｍ６０ｃｍ×奥行１ｍ８０ｃｍ）"
197,"８Ｋ×５Ｋ（幅１４ｍ４０ｃｍ×奥行１ｍ８０ｃｍ）"
198,"９Ｋ×５Ｋ（幅１６ｍ２０ｃｍ×奥行１ｍ８０ｃｍ）"
199,"１０Ｋ×５Ｋ（幅１８ｍ×奥行１ｍ８０ｃｍ）"
200,"パンチカーペット（１ｍ・グレー・または赤）"
210,"バックパネル・展示パネル（１Ｋ）"
211,"バックパネル・展示パネル（２Ｋ）"
212,"バックパネル・展示パネル（３Ｋ）"
213,"バックパネル・展示パネル（４Ｋ）"
214,"バックパネル・展示パネル（５Ｋ）"
215,"バックパネル・展示パネル（６Ｋ）"
216,"バックパネル・展示パネル（７Ｋ）"
217,"バックパネル・展示パネル（８Ｋ）"
218,"バックパネル・展示パネル（９Ｋ）"
219,"バックパネル・展示パネル（１０Ｋ）"
220,"ステージ階段"
221,"ステージ屋根テント（３Ｋ×４Ｋ）"
222,"ステージ屋根テント（白・３Ｋ×５Ｋ）"
240,"３０人程度（ポータブル）"
241,"３０人程度（ポータブル）"
242,"５０人程度（スピーカー×２発）"
243,"５０人程度（スピーカー×４発）"
244,"２００人程度（スピーカー×４発）"
245,"２００人程度・バンド対応（スピーカー×６発）"
246,"３００人程度（スピーカー×６発）"
247,"３００人程度・バンド対応（スピーカー×８発）"
248,"１００人程度（トランペットスピーカー×２発）"
249,"２００人程度（トランペットスピーカー×２発）"
250,"３００人程度（トランペットスピーカー×４発）"
251,"３００人程度（トランペットスピーカー×４発）"
252,"音響オペレーター（１名）"
253,"音響オペレーター（２名）"
254,"ワイヤレスマイク"
255,"ボーカル用ワイヤレスマイク"
256,"マイクスタンド（２１０・Ｈｉ）"
257,"マイクスタンド（２５９・Ｌｏｗ）"
258,"卓上マイクスタンド"
259,"カセット/ＣＤデッキ"
260,"ＭＤデッキ"
261,"通信カラオケ"
262,"ドラムセット"
263,"キーボード"
264,"キーボードアンプ"
265,"ギターアンプ"
266,"ベースアンプ"
267,"譜面台"
268,"太鼓"
269,"締め太鼓"
270,"ドラ"
271,"摺り鉦（当たり鉦）"
272,"音響台（イントレ１段×２ヶ所）"
273,"音響台（イントレ２段×２ヶ所）"
274,"音響台（イントレ３段×２ヶ所）"
290,"ステージ照明（パーライト×１灯×２ヶ所）"
291,"ステージ照明（パーライト×２灯×２ヶ所）"
292,"ステージ照明（パーライト×３灯×２ヶ所）"
293,"ステージ照明（パーライト×４灯×２ヶ所）"
294,"照明台（イントレ１段×２ヶ所）"
295,"照明台（イントレ２段×２ヶ所）"
296,"照明台（イントレ３段×２ヶ所）"
297,"スタンド"
298,"トンボ"
299,"パーライト"
300,"ＤＦ（５００Ｗ）"
301,"ＩＴＯ（６５０Ｗ）"
302,"ミニブルート（１Ｋｗ）"
303,"ブラックライト"
304,"ロアーホリゾントライト"
305,"ストロボ"
306,"クセノンピンスポット（５００Ｗ）"
307,"ミラーボール（吊下げ用）"
308,"ミラーボール（据置き用）"
309,"蛍光灯"
310,"投光器"
311,"提灯コード"
312,"提灯"
330,"ＰＣプロジェクター"
331,"ＴＶ（３２型）"
332,"スクリーン（２ｍ・自立式）"
333,"スクリーン（４ｍ・吊下式）"
350,"シャボン玉マシン（小）"
351,"シャボン玉マシン（大）"
352,"キャンドルトーチ"
353,"シャンペンタワー"
354,"ドライアイスマシン"
370,"テープカット（８人分迄）×１式"
371,"除幕（８人分迄）×１式"
372,"金はさみ"
373,"リボン花"
374,"白手袋"
375,"表彰本・黒盆"
376,"胸章リボン"
377,"赤パンチカーペット（１ｍ）"
378,"金ポール（紅白リボン付）"
379,"３０人程度（ポータブル）"
380,"５０人程度（スピーカー×２発）"
381,"青白幕・浅葱幕（５Ｋ）"
382,"紅白幕（５Ｋ）"
383,"紅白幕（５Ｋ×６８ｃｍ）"
384,"白布（傷有・クリーニング代込み）"
385,"紅白幕（５Ｋ×６８ｃｍ）"
386,"金屏風（半双）"
387,"司会者台"
388,"演台"
400,"抽選機"
401,"当たり鐘"
402,"ガラポン大型抽選機"
403,"抽選箱"
404,"手動ビンゴ振出器"
405,"手動ビンゴ掲示ボード"
406,"ビンゴカード（１００枚）"
420,"獅子舞衣装"
421,"サンタクロース衣装（高級）"
422,"サンタクロース衣装"
423,"はっぴ"
424,"うさぎ"
425,"エリマキトカゲ"
426,"オオカミ"
427,"カエル"
428,"キジ"
429,"キリン"
430,"クマ"
431,"コアラ"
432,"コック牛"
433,"ゴリラ"
434,"サル"
435,"トラ"
436,"ニワトリ"
437,"パンダ"
438,"ブタ"
439,"ペンギン"
440,"桃太郎"
441,"ライオン"
442,"リス"
443,"ロバ"
444,"イヌ"
445,"スノーマン"
446,"トナカイ"
447,"飾り用神社"
460,"のぼり旗用ポール"
461,"ポールスタンド（白）"
462,"野点傘（ベース付）"
463,"縁台（中古赤毛氈付）"
464,"姿見鏡（ノンフレームスタンドミラー）"
465,"ハンガーラック"
466,"加湿器"
467,"ホワイトボード"
468,"流し台（１槽）"
469,"流し台（３槽）"
470,"水缶（２０ℓ用）"
471,"石鹸（中古）"
472,"石鹸受（中古）"
473,"バケツ"
474,"買物カート"
475,"台車"
476,"カラーコーン"
477,"コーンウエイト"
478,"コーンバー"
479,"灰皿（ペール缶）"
480,"スタンド灰皿"
481,"卓上灰皿"
482,"万国旗"
483,"ラティス"
484,"ライフジャケット（大人用）"
485,"ライフジャケット（子供用）"
486,"タンポポマット（砂落とし用マット）"
487,"誘導棒"
488,"家庭用扇風機"
489,"業務用扇風機"
490,"だるまストーブ（灯油込み）"
491,"飾り用神社"
